"name","ucnt","sum","ds","server","channel"
"献花奖励","63","126","2014-11-11","s186","appstore"
"签到累计奖励","10","1000","2014-11-11","s186","appstore"
"系统消息附带的奖励","115","21115","2014-11-11","s186","appstore"
"紫禁宝匣开出元宝","27","225","2014-11-11","s186","appstore"
"血战奖励","71","1139","2014-11-11","s186","appstore"
"充值奖励","5","4617","2014-11-11","s187","appstore"
"充值返元宝","11","4936","2014-11-11","s187","appstore"
"八阵图奖励","5","280","2014-11-11","s187","appstore"
"升级奖励","38","610","2014-11-11","s187","appstore"
"升级活动奖励","10","4660","2014-11-11","s187","appstore"
"名山寻宝","16","365","2014-11-11","s187","appstore"
"小宝赠宝获取奖励","35","910","2014-11-11","s187","appstore"
"每日登录送元宝","38","190","2014-11-11","s187","appstore"
"献花奖励","62","124","2014-11-11","s187","appstore"
"签到累计奖励","2","200","2014-11-11","s187","appstore"
"系统消息附带的奖励","102","18165","2014-11-11","s187","appstore"
"紫禁宝匣开出元宝","26","175","2014-11-11","s187","appstore"
"血战奖励","48","913","2014-11-11","s187","appstore"
"财源滚滚得到元宝","1","51","2014-11-11","s187","appstore"
"充值奖励","9","5888","2014-11-11","s188","appstore"
"充值返元宝","18","4400","2014-11-11","s188","appstore"
"八阵图奖励","8","380","2014-11-11","s188","appstore"
"升级奖励","164","1990","2014-11-11","s188","appstore"
"升级活动奖励","13","4220","2014-11-11","s188","appstore"
"名山寻宝","22","500","2014-11-11","s188","appstore"
"小宝赠宝获取奖励","46","1135","2014-11-11","s188","appstore"
"每日登录送元宝","43","215","2014-11-11","s188","appstore"
"献花奖励","82","164","2014-11-11","s188","appstore"
"签到累计奖励","1","100","2014-11-11","s188","appstore"
"系统消息附带的奖励","120","21530","2014-11-11","s188","appstore"
"紫禁宝匣开出元宝","34","285","2014-11-11","s188","appstore"
"血战奖励","60","984","2014-11-11","s188","appstore"
"财源滚滚得到元宝","1","385","2014-11-11","s188","appstore"
"首次充值奖励","2","42","2014-11-11","s188","appstore"
"首次充值奖励翻倍","1","335","2014-11-11","s188","appstore"
"充值奖励","11","2713","2014-11-11","s189","appstore"
"充值返元宝","16","4784","2014-11-11","s189","appstore"
"八阵图奖励","15","850","2014-11-11","s189","appstore"
"升级奖励","255","9950","2014-11-11","s189","appstore"
"升级活动奖励","17","5445","2014-11-11","s189","appstore"
"名山寻宝","18","415","2014-11-11","s189","appstore"
"小宝赠宝获取奖励","61","1455","2014-11-11","s189","appstore"
"每日登录送元宝","59","295","2014-11-11","s189","appstore"
"献花奖励","72","144","2014-11-11","s189","appstore"
"签到累计奖励","4","400","2014-11-11","s189","appstore"
"系统消息附带的奖励","139","22095","2014-11-11","s189","appstore"
"紫禁宝匣开出元宝","35","255","2014-11-11","s189","appstore"
"血战奖励","67","982","2014-11-11","s189","appstore"
"财源滚滚得到元宝","3","945","2014-11-11","s189","appstore"
"首次充值奖励","2","445","2014-11-11","s189","appstore"
"首次充值奖励翻倍","2","4025","2014-11-11","s189","appstore"
"cdkey","1","300","2014-11-11","s19","appstore"
"充值奖励","3","3334","2014-11-11","s19","appstore"
"升级奖励","7","70","2014-11-11","s19","appstore"
"名山寻宝","3","90","2014-11-11","s19","appstore"
"小宝赠宝获取奖励","69","1570","2014-11-11","s19","appstore"
"每日登录送元宝","8","40","2014-11-11","s19","appstore"
"签到累计奖励","1","100","2014-11-11","s19","appstore"
"系统消息附带的奖励","127","20585","2014-11-11","s19","appstore"
"紫禁宝匣开出元宝","50","505","2014-11-11","s19","appstore"
"血战奖励","112","7166","2014-11-11","s19","appstore"
"首次充值奖励","3","1667","2014-11-11","s19","appstore"
"首次充值奖励翻倍","3","14687","2014-11-11","s19","appstore"
"充值奖励","9","8731","2014-11-11","s190","appstore"
"充值返元宝","12","3503","2014-11-11","s190","appstore"
"八阵图奖励","19","800","2014-11-11","s190","appstore"
"升级奖励","68","1090","2014-11-11","s190","appstore"
"升级活动奖励","19","7360","2014-11-11","s190","appstore"
"名山寻宝","27","390","2014-11-11","s190","appstore"
"小宝赠宝获取奖励","44","970","2014-11-11","s190","appstore"
"每日登录送元宝","77","385","2014-11-11","s190","appstore"
"献花奖励","71","142","2014-11-11","s190","appstore"
"签到累计奖励","4","400","2014-11-11","s190","appstore"
"系统消息附带的奖励","113","18510","2014-11-11","s190","appstore"
"紫禁宝匣开出元宝","26","260","2014-11-11","s190","appstore"
"血战奖励","49","869","2014-11-11","s190","appstore"
"首次充值奖励","2","41","2014-11-11","s190","appstore"
"首次充值奖励翻倍","2","401","2014-11-11","s190","appstore"
"充值奖励","11","9780","2014-11-11","s191","appstore"
"充值返元宝","10","3951","2014-11-11","s191","appstore"
"八阵图奖励","41","1700","2014-11-11","s191","appstore"
"升级奖励","103","1510","2014-11-11","s191","appstore"
"升级活动奖励","31","12660","2014-11-11","s191","appstore"
"名山寻宝","27","515","2014-11-11","s191","appstore"
"小宝赠宝获取奖励","39","875","2014-11-11","s191","appstore"
"每日登录送元宝","60","300","2014-11-11","s191","appstore"
"献花奖励","43","86","2014-11-11","s191","appstore"
"签到累计奖励","1","100","2014-11-11","s191","appstore"
"系统消息附带的奖励","128","21630","2014-11-11","s191","appstore"
"紫禁宝匣开出元宝","21","240","2014-11-11","s191","appstore"
"血战奖励","40","581","2014-11-11","s191","appstore"
"财源滚滚得到元宝","1","56","2014-11-11","s191","appstore"
"首次充值奖励","1","390","2014-11-11","s191","appstore"
"首次充值奖励翻倍","1","3670","2014-11-11","s191","appstore"
"充值奖励","5","10188","2014-11-11","s192","appstore"
"充值返元宝","3","1315","2014-11-11","s192","appstore"
"八阵图奖励","12","480","2014-11-11","s192","appstore"
"升级奖励","58","1100","2014-11-11","s192","appstore"
"升级活动奖励","19","4445","2014-11-11","s192","appstore"
"名山寻宝","9","185","2014-11-11","s192","appstore"
"小宝赠宝获取奖励","18","325","2014-11-11","s192","appstore"
"每日登录送元宝","20","100","2014-11-11","s192","appstore"
"签到累计奖励","2","200","2014-11-11","s192","appstore"
"系统消息附带的奖励","84","14215","2014-11-11","s192","appstore"
"紫禁宝匣开出元宝","6","45","2014-11-11","s192","appstore"
"血战奖励","18","186","2014-11-11","s192","appstore"
"财源滚滚得到元宝","8","2622","2014-11-11","s192","appstore"
"首次充值奖励","3","49","2014-11-11","s192","appstore"
"首次充值奖励翻倍","3","469","2014-11-11","s192","appstore"
"cdkey","1","300","2014-11-11","s193","appstore"
"充值奖励","12","8135","2014-11-11","s193","appstore"
"充值返元宝","17","7967","2014-11-11","s193","appstore"
"八阵图奖励","49","1710","2014-11-11","s193","appstore"
"升级奖励","159","2650","2014-11-11","s193","appstore"
"升级活动奖励","47","15066","2014-11-11","s193","appstore"
"名山寻宝","29","605","2014-11-11","s193","appstore"
"小宝赠宝获取奖励","49","1035","2014-11-11","s193","appstore"
"每日登录送元宝","84","420","2014-11-11","s193","appstore"
"签到累计奖励","5","500","2014-11-11","s193","appstore"
"系统消息附带的奖励","126","18850","2014-11-11","s193","appstore"
"紫禁宝匣开出元宝","12","95","2014-11-11","s193","appstore"
"血战奖励","55","556","2014-11-11","s193","appstore"
"财源滚滚得到元宝","5","1178","2014-11-11","s193","appstore"
"首次充值奖励","5","132","2014-11-11","s193","appstore"
"首次充值奖励翻倍","5","1292","2014-11-11","s193","appstore"
"cdkey","1","300","2014-11-11","s194","appstore"
"充值奖励","10","1191","2014-11-11","s194","appstore"
"充值返元宝","13","5691","2014-11-11","s194","appstore"
"八阵图奖励","146","6850","2014-11-11","s194","appstore"
"升级奖励","256","4810","2014-11-11","s194","appstore"
"升级活动奖励","101","31403","2014-11-11","s194","appstore"
"名山寻宝","39","605","2014-11-11","s194","appstore"
"奖励100元宝,微信首次登陆","1","100","2014-11-11","s194","appstore"
"小宝赠宝获取奖励","60","1260","2014-11-11","s194","appstore"
"每日登录送元宝","102","510","2014-11-11","s194","appstore"
"签到累计奖励","30","3000","2014-11-11","s194","appstore"
"系统消息附带的奖励","129","17595","2014-11-11","s194","appstore"
"紫禁宝匣开出元宝","5","50","2014-11-11","s194","appstore"
"血战奖励","33","282","2014-11-11","s194","appstore"
"财源滚滚得到元宝","10","5895","2014-11-11","s194","appstore"
"首次充值奖励","12","1019","2014-11-11","s194","appstore"
"首次充值奖励翻倍","12","9119","2014-11-11","s194","appstore"
"充值奖励","21","12650","2014-11-11","s195","appstore"
"充值返元宝","15","5622","2014-11-11","s195","appstore"
"八阵图奖励","472","20100","2014-11-11","s195","appstore"
"升级奖励","532","11530","2014-11-11","s195","appstore"
"升级活动奖励","204","46624","2014-11-11","s195","appstore"
"名山寻宝","48","765","2014-11-11","s195","appstore"
"小宝赠宝获取奖励","71","1190","2014-11-11","s195","appstore"
"每日登录送元宝","149","745","2014-11-11","s195","appstore"
"签到累计奖励","79","7900","2014-11-11","s195","appstore"
"系统消息附带的奖励","159","21435","2014-11-11","s195","appstore"
"紫禁宝匣开出元宝","1","10","2014-11-11","s195","appstore"
"血战奖励","44","378","2014-11-11","s195","appstore"
"财源滚滚得到元宝","49","10508","2014-11-11","s195","appstore"
"首次充值奖励","12","1138","2014-11-11","s195","appstore"
"首次充值奖励翻倍","12","10238","2014-11-11","s195","appstore"
"cdkey","3","900","2014-11-11","s196","appstore"
"充值奖励","26","11858","2014-11-11","s196","appstore"
"八阵图奖励","355","10530","2014-11-11","s196","appstore"
"升级奖励","1424","55490","2014-11-11","s196","appstore"
"升级活动奖励","636","91347","2014-11-11","s196","appstore"
"名山寻宝","26","420","2014-11-11","s196","appstore"
"小宝赠宝获取奖励","24","405","2014-11-11","s196","appstore"
"每日登录送元宝","68","340","2014-11-11","s196","appstore"
"签到累计奖励","392","39200","2014-11-11","s196","appstore"
"系统消息附带的奖励","688","75550","2014-11-11","s196","appstore"
"血战奖励","20","126","2014-11-11","s196","appstore"
"财源滚滚得到元宝","491","284572","2014-11-11","s196","appstore"
"首次充值奖励","47","9426","2014-11-11","s196","appstore"
"首次充值奖励翻倍","45","83898","2014-11-11","s196","appstore"
"cdkey","3","1038","2014-11-11","s2","appstore"
"充值奖励","7","14261","2014-11-11","s2","appstore"
"八阵图奖励","7","200","2014-11-11","s2","appstore"
"升级奖励","14","360","2014-11-11","s2","appstore"
"升级活动奖励","9","2570","2014-11-11","s2","appstore"
"名山寻宝","6","200","2014-11-11","s2","appstore"
"小宝赠宝获取奖励","79","1860","2014-11-11","s2","appstore"
"每日登录送元宝","22","110","2014-11-11","s2","appstore"
"签到累计奖励","2","200","2014-11-11","s2","appstore"
"系统消息附带的奖励","160","23520","2014-11-11","s2","appstore"
"紫禁宝匣开出元宝","68","915","2014-11-11","s2","appstore"
"血战奖励","113","7169","2014-11-11","s2","appstore"
"财源滚滚得到元宝","3","495","2014-11-11","s2","appstore"
"首次充值奖励","4","2497","2014-11-11","s2","appstore"
"首次充值奖励翻倍","4","21997","2014-11-11","s2","appstore"
"cdkey","1","50","2014-11-11","s20","appstore"
"充值奖励","6","6959","2014-11-11","s20","appstore"
"八阵图奖励","11","330","2014-11-11","s20","appstore"
"升级奖励","16","460","2014-11-11","s20","appstore"
"升级活动奖励","9","2680","2014-11-11","s20","appstore"
"名山寻宝","3","95","2014-11-11","s20","appstore"
"小宝赠宝获取奖励","75","1820","2014-11-11","s20","appstore"
"每日登录送元宝","6","30","2014-11-11","s20","appstore"
"签到累计奖励","6","600","2014-11-11","s20","appstore"
"系统消息附带的奖励","161","25590","2014-11-11","s20","appstore"
"紫禁宝匣开出元宝","51","470","2014-11-11","s20","appstore"
"血战奖励","113","6810","2014-11-11","s20","appstore"
"财源滚滚得到元宝","1","372","2014-11-11","s20","appstore"
"首次充值奖励","2","42","2014-11-11","s20","appstore"
"首次充值奖励翻倍","2","402","2014-11-11","s20","appstore"
"cdkey","1","50","2014-11-11","s21","appstore"
"充值奖励","2","2095","2014-11-11","s21","appstore"
"八阵图奖励","2","40","2014-11-11","s21","appstore"
"升级奖励","16","230","2014-11-11","s21","appstore"
"升级活动奖励","2","270","2014-11-11","s21","appstore"
"小宝赠宝获取奖励","101","2185","2014-11-11","s21","appstore"
"每日登录送元宝","11","55","2014-11-11","s21","appstore"
"签到累计奖励","4","400","2014-11-11","s21","appstore"
"系统消息附带的奖励","151","23535","2014-11-11","s21","appstore"
"紫禁宝匣开出元宝","55","660","2014-11-11","s21","appstore"
"血战奖励","142","8838","2014-11-11","s21","appstore"
"首次充值奖励","2","837","2014-11-11","s21","appstore"
"首次充值奖励翻倍","2","7377","2014-11-11","s21","appstore"
"cdkey","2","100","2014-11-11","s22","appstore"
"充值奖励","3","872","2014-11-11","s22","appstore"
"八阵图奖励","3","120","2014-11-11","s22","appstore"
"升级奖励","12","130","2014-11-11","s22","appstore"
"升级活动奖励","3","5660","2014-11-11","s22","appstore"
"名山寻宝","5","125","2014-11-11","s22","appstore"
"小宝赠宝获取奖励","93","2190","2014-11-11","s22","appstore"
"每日登录送元宝","14","70","2014-11-11","s22","appstore"
"签到累计奖励","1","100","2014-11-11","s22","appstore"
"系统消息附带的奖励","168","27525","2014-11-11","s22","appstore"
"紫禁宝匣开出元宝","64","765","2014-11-11","s22","appstore"
"血战奖励","129","8707","2014-11-11","s22","appstore"
"首次充值奖励","1","35","2014-11-11","s22","appstore"
"首次充值奖励翻倍","1","335","2014-11-11","s22","appstore"
"cdkey","3","600","2014-11-11","s23","appstore"
"充值奖励","6","4597","2014-11-11","s23","appstore"
"八阵图奖励","3","170","2014-11-11","s23","appstore"
"升级奖励","7","80","2014-11-11","s23","appstore"
"升级活动奖励","2","900","2014-11-11","s23","appstore"
"名山寻宝","4","130","2014-11-11","s23","appstore"
"小宝赠宝获取奖励","66","1460","2014-11-11","s23","appstore"
"每日登录送元宝","7","35","2014-11-11","s23","appstore"
"系统消息附带的奖励","134","21925","2014-11-11","s23","appstore"
"紫禁宝匣开出元宝","28","335","2014-11-11","s23","appstore"
"血战奖励","108","5926","2014-11-11","s23","appstore"
"首次充值奖励","1","238","2014-11-11","s23","appstore"
"首次充值奖励翻倍","1","2218","2014-11-11","s23","appstore"
"cdkey","2","100","2014-11-11","s24","appstore"
"充值奖励","4","7253","2014-11-11","s24","appstore"
"八阵图奖励","3","150","2014-11-11","s24","appstore"
"升级奖励","7","140","2014-11-11","s24","appstore"
"升级活动奖励","2","1200","2014-11-11","s24","appstore"
"名山寻宝","9","255","2014-11-11","s24","appstore"
"小宝赠宝获取奖励","74","1755","2014-11-11","s24","appstore"
"每日登录送元宝","6","30","2014-11-11","s24","appstore"
"系统消息附带的奖励","123","20615","2014-11-11","s24","appstore"
"紫禁宝匣开出元宝","42","400","2014-11-11","s24","appstore"
"血战奖励","96","4843","2014-11-11","s24","appstore"
"财源滚滚得到元宝","1","48","2014-11-11","s24","appstore"
"首次充值奖励","3","429","2014-11-11","s24","appstore"
"首次充值奖励翻倍","3","4069","2014-11-11","s24","appstore"
"充值奖励","5","8319","2014-11-11","s25","appstore"
"升级奖励","10","100","2014-11-11","s25","appstore"
"升级活动奖励","3","1711","2014-11-11","s25","appstore"
"名山寻宝","1","10","2014-11-11","s25","appstore"
"小宝赠宝获取奖励","75","1650","2014-11-11","s25","appstore"
"每日登录送元宝","6","30","2014-11-11","s25","appstore"
"系统消息附带的奖励","132","21300","2014-11-11","s25","appstore"
"紫禁宝匣开出元宝","48","600","2014-11-11","s25","appstore"
"血战奖励","117","7175","2014-11-11","s25","appstore"
"首次充值奖励","3","2050","2014-11-11","s25","appstore"
"首次充值奖励翻倍","3","18290","2014-11-11","s25","appstore"
"充值奖励","3","5751","2014-11-11","s26","appstore"
"八阵图奖励","3","140","2014-11-11","s26","appstore"
"升级奖励","4","80","2014-11-11","s26","appstore"
"升级活动奖励","3","4580","2014-11-11","s26","appstore"
"名山寻宝","1","40","2014-11-11","s26","appstore"
"小宝赠宝获取奖励","62","1470","2014-11-11","s26","appstore"
"每日登录送元宝","5","25","2014-11-11","s26","appstore"
"献花奖励","108","540","2014-11-11","s26","appstore"
"系统消息附带的奖励","129","21350","2014-11-11","s26","appstore"
"紫禁宝匣开出元宝","39","385","2014-11-11","s26","appstore"
"血战奖励","92","5019","2014-11-11","s26","appstore"
"首次充值奖励","1","35","2014-11-11","s26","appstore"
"首次充值奖励翻倍","1","335","2014-11-11","s26","appstore"
"cdkey","3","561","2014-11-11","s3","appstore"
"充值奖励","2","911","2014-11-11","s3","appstore"
"八阵图奖励","1","10","2014-11-11","s3","appstore"
"升级奖励","8","210","2014-11-11","s3","appstore"
"升级活动奖励","2","650","2014-11-11","s3","appstore"
"小宝赠宝获取奖励","62","1420","2014-11-11","s3","appstore"
"每日登录送元宝","12","60","2014-11-11","s3","appstore"
"系统消息附带的奖励","140","21700","2014-11-11","s3","appstore"
"紫禁宝匣开出元宝","45","375","2014-11-11","s3","appstore"
"血战奖励","98","6748","2014-11-11","s3","appstore"
"财源滚滚得到元宝","1","48","2014-11-11","s3","appstore"
"首次充值奖励","1","35","2014-11-11","s3","appstore"
"首次充值奖励翻倍","1","335","2014-11-11","s3","appstore"
"cdkey","1","600","2014-11-11","s31","appstore"
"充值奖励","2","2613","2014-11-11","s31","appstore"
"升级奖励","5","110","2014-11-11","s31","appstore"
"升级活动奖励","1","500","2014-11-11","s31","appstore"
"名山寻宝","2","100","2014-11-11","s31","appstore"
"小宝赠宝获取奖励","62","1610","2014-11-11","s31","appstore"
"每日登录送元宝","12","60","2014-11-11","s31","appstore"
"献花奖励","97","485","2014-11-11","s31","appstore"
"系统消息附带的奖励","117","18005","2014-11-11","s31","appstore"
"紫禁宝匣开出元宝","44","450","2014-11-11","s31","appstore"
"血战奖励","93","6372","2014-11-11","s31","appstore"
"首次充值奖励","1","830","2014-11-11","s31","appstore"
"首次充值奖励翻倍","1","7310","2014-11-11","s31","appstore"
"cdkey","1","50","2014-11-11","s32","appstore"
"充值奖励","3","2998","2014-11-11","s32","appstore"
"八阵图奖励","3","110","2014-11-11","s32","appstore"
"升级奖励","10","110","2014-11-11","s32","appstore"
"升级活动奖励","1","300","2014-11-11","s32","appstore"
"名山寻宝","3","90","2014-11-11","s32","appstore"
"小宝赠宝获取奖励","49","1125","2014-11-11","s32","appstore"
"每日登录送元宝","5","25","2014-11-11","s32","appstore"
"献花奖励","64","320","2014-11-11","s32","appstore"
"签到累计奖励","1","100","2014-11-11","s32","appstore"
"系统消息附带的奖励","124","19345","2014-11-11","s32","appstore"
"紫禁宝匣开出元宝","39","320","2014-11-11","s32","appstore"
"血战奖励","88","5276","2014-11-11","s32","appstore"
"首次充值奖励","3","2490","2014-11-11","s32","appstore"
"首次充值奖励翻倍","3","21930","2014-11-11","s32","appstore"
"cdkey","1","467","2014-11-11","s33","appstore"
"充值奖励","4","5965","2014-11-11","s33","appstore"
"八阵图奖励","3","300","2014-11-11","s33","appstore"
"升级奖励","13","340","2014-11-11","s33","appstore"
"升级活动奖励","6","3660","2014-11-11","s33","appstore"
"名山寻宝","1","10","2014-11-11","s33","appstore"
"小宝赠宝获取奖励","67","1430","2014-11-11","s33","appstore"
"每日登录送元宝","12","60","2014-11-11","s33","appstore"
"献花奖励","132","660","2014-11-11","s33","appstore"
"系统消息附带的奖励","185","29520","2014-11-11","s33","appstore"
"紫禁宝匣开出元宝","44","505","2014-11-11","s33","appstore"
"血战奖励","122","8020","2014-11-11","s33","appstore"
"财源滚滚得到元宝","3","911","2014-11-11","s33","appstore"
"首次充值奖励","2","88","2014-11-11","s33","appstore"
"首次充值奖励翻倍","3","894","2014-11-11","s33","appstore"
"cdkey","1","700","2014-11-11","s34","appstore"
"充值奖励","2","2963","2014-11-11","s34","appstore"
"升级奖励","6","60","2014-11-11","s34","appstore"
"升级活动奖励","2","1790","2014-11-11","s34","appstore"
"名山寻宝","3","100","2014-11-11","s34","appstore"
"小宝赠宝获取奖励","55","1250","2014-11-11","s34","appstore"
"每日登录送元宝","3","15","2014-11-11","s34","appstore"
"献花奖励","79","400","2014-11-11","s34","appstore"
"系统消息附带的奖励","124","20300","2014-11-11","s34","appstore"
"紫禁宝匣开出元宝","36","425","2014-11-11","s34","appstore"
"血战奖励","92","5536","2014-11-11","s34","appstore"
"首次充值奖励","2","1660","2014-11-11","s34","appstore"
"首次充值奖励翻倍","2","14620","2014-11-11","s34","appstore"
"充值奖励","3","5390","2014-11-11","s35","appstore"
"八阵图奖励","5","110","2014-11-11","s35","appstore"
"升级奖励","9","110","2014-11-11","s35","appstore"
"升级活动奖励","3","800","2014-11-11","s35","appstore"
"名山寻宝","1","35","2014-11-11","s35","appstore"
"小宝赠宝获取奖励","65","1450","2014-11-11","s35","appstore"
"每日登录送元宝","9","45","2014-11-11","s35","appstore"
"献花奖励","71","355","2014-11-11","s35","appstore"
"签到累计奖励","1","100","2014-11-11","s35","appstore"
"系统消息附带的奖励","127","20620","2014-11-11","s35","appstore"
"紫禁宝匣开出元宝","37","395","2014-11-11","s35","appstore"
"血战奖励","100","5861","2014-11-11","s35","appstore"
"首次充值奖励","4","1698","2014-11-11","s35","appstore"
"首次充值奖励翻倍","5","15353","2014-11-11","s35","appstore"
"充值奖励","3","2735","2014-11-11","s36","appstore"
"升级奖励","6","90","2014-11-11","s36","appstore"
"名山寻宝","1","35","2014-11-11","s36","appstore"
"小宝赠宝获取奖励","56","1220","2014-11-11","s36","appstore"
"每日登录送元宝","6","30","2014-11-11","s36","appstore"
"献花奖励","84","420","2014-11-11","s36","appstore"
"系统消息附带的奖励","127","20760","2014-11-11","s36","appstore"
"紫禁宝匣开出元宝","39","370","2014-11-11","s36","appstore"
"血战奖励","95","5115","2014-11-11","s36","appstore"
"首次充值奖励","6","1651","2014-11-11","s36","appstore"
"首次充值奖励翻倍","6","14871","2014-11-11","s36","appstore"
"充值奖励","2","844","2014-11-11","s37","appstore"
"升级奖励","3","40","2014-11-11","s37","appstore"
"名山寻宝","2","80","2014-11-11","s37","appstore"
"小宝赠宝获取奖励","38","885","2014-11-11","s37","appstore"
"每日登录送元宝","5","25","2014-11-11","s37","appstore"
"献花奖励","67","335","2014-11-11","s37","appstore"
"系统消息附带的奖励","109","18230","2014-11-11","s37","appstore"
"紫禁宝匣开出元宝","28","265","2014-11-11","s37","appstore"
"血战奖励","79","4040","2014-11-11","s37","appstore"
"首次充值奖励","5","1765","2014-11-11","s37","appstore"
"首次充值奖励翻倍","4","15290","2014-11-11","s37","appstore"
"八阵图奖励","2","80","2014-11-11","s38","appstore"
"升级奖励","10","210","2014-11-11","s38","appstore"
"升级活动奖励","2","2740","2014-11-11","s38","appstore"
"名山寻宝","2","65","2014-11-11","s38","appstore"
"小宝赠宝获取奖励","57","1585","2014-11-11","s38","appstore"
"每日登录送元宝","8","40","2014-11-11","s38","appstore"
"签到累计奖励","1","100","2014-11-11","s38","appstore"
"系统消息附带的奖励","140","23145","2014-11-11","s38","appstore"
"紫禁宝匣开出元宝","53","620","2014-11-11","s38","appstore"
"血战奖励","92","4773","2014-11-11","s38","appstore"
"财源滚滚得到元宝","1","55","2014-11-11","s38","appstore"
"首次充值奖励","3","1667","2014-11-11","s38","appstore"
"首次充值奖励翻倍","2","14620","2014-11-11","s38","appstore"
"充值奖励","1","238","2014-11-11","s39","appstore"
"八阵图奖励","5","180","2014-11-11","s39","appstore"
"升级奖励","10","200","2014-11-11","s39","appstore"
"升级活动奖励","7","1410","2014-11-11","s39","appstore"
"名山寻宝","4","90","2014-11-11","s39","appstore"
"小宝赠宝获取奖励","58","1280","2014-11-11","s39","appstore"
"每日登录送元宝","8","40","2014-11-11","s39","appstore"
"系统消息附带的奖励","136","20890","2014-11-11","s39","appstore"
"紫禁宝匣开出元宝","45","680","2014-11-11","s39","appstore"
"血战奖励","99","7349","2014-11-11","s39","appstore"
"财源滚滚得到元宝","1","54","2014-11-11","s39","appstore"
"首次充值奖励","3","449","2014-11-11","s39","appstore"
"首次充值奖励翻倍","1","3690","2014-11-11","s39","appstore"
"cdkey","1","50","2014-11-11","s4","appstore"
"充值奖励","4","5921","2014-11-11","s4","appstore"
"八阵图奖励","1","20","2014-11-11","s4","appstore"
"升级奖励","5","150","2014-11-11","s4","appstore"
"升级活动奖励","2","510","2014-11-11","s4","appstore"
"名山寻宝","2","45","2014-11-11","s4","appstore"
"小宝赠宝获取奖励","69","1700","2014-11-11","s4","appstore"
"每日登录送元宝","13","65","2014-11-11","s4","appstore"
"系统消息附带的奖励","165","26155","2014-11-11","s4","appstore"
"紫禁宝匣开出元宝","52","690","2014-11-11","s4","appstore"
"血战奖励","121","6622","2014-11-11","s4","appstore"
"财源滚滚得到元宝","1","468","2014-11-11","s4","appstore"
"首次充值奖励","4","1730","2014-11-11","s4","appstore"
"首次充值奖励翻倍","3","14955","2014-11-11","s4","appstore"
"cdkey","2","150","2014-11-11","s40","appstore"
"充值奖励","3","3320","2014-11-11","s40","appstore"
"充值返元宝","1","666","2014-11-11","s40","appstore"
"八阵图奖励","1","50","2014-11-11","s40","appstore"
"升级奖励","5","60","2014-11-11","s40","appstore"
"升级活动奖励","1","990","2014-11-11","s40","appstore"
"名山寻宝","3","55","2014-11-11","s40","appstore"
"小宝赠宝获取奖励","48","1170","2014-11-11","s40","appstore"
"每日登录送元宝","6","30","2014-11-11","s40","appstore"
"系统消息附带的奖励","113","18900","2014-11-11","s40","appstore"
"紫禁宝匣开出元宝","38","470","2014-11-11","s40","appstore"
"血战奖励","85","5357","2014-11-11","s40","appstore"
"首次充值奖励","1","35","2014-11-11","s40","appstore"
"首次充值奖励翻倍","1","335","2014-11-11","s40","appstore"
"充值奖励","4","5177","2014-11-11","s41","appstore"
"八阵图奖励","1","30","2014-11-11","s41","appstore"
"升级奖励","7","90","2014-11-11","s41","appstore"
"升级活动奖励","1","400","2014-11-11","s41","appstore"
"小宝赠宝获取奖励","55","1280","2014-11-11","s41","appstore"
"每日登录送元宝","6","30","2014-11-11","s41","appstore"
"系统消息附带的奖励","138","21260","2014-11-11","s41","appstore"
"紫禁宝匣开出元宝","39","365","2014-11-11","s41","appstore"
"血战奖励","87","4890","2014-11-11","s41","appstore"
"首次充值奖励","2","273","2014-11-11","s41","appstore"
"首次充值奖励翻倍","3","2620","2014-11-11","s41","appstore"
"充值奖励","3","2900","2014-11-11","s42","appstore"
"八阵图奖励","7","320","2014-11-11","s42","appstore"
"升级奖励","5","50","2014-11-11","s42","appstore"
"升级活动奖励","2","900","2014-11-11","s42","appstore"
"名山寻宝","1","35","2014-11-11","s42","appstore"
"小宝赠宝获取奖励","50","1305","2014-11-11","s42","appstore"
"每日登录送元宝","9","45","2014-11-11","s42","appstore"
"系统消息附带的奖励","97","16995","2014-11-11","s42","appstore"
"紫禁宝匣开出元宝","34","495","2014-11-11","s42","appstore"
"血战奖励","72","3846","2014-11-11","s42","appstore"
"首次充值奖励","2","865","2014-11-11","s42","appstore"
"首次充值奖励翻倍","2","7645","2014-11-11","s42","appstore"
"cdkey","2","350","2014-11-11","s43","appstore"
"充值奖励","3","5923","2014-11-11","s43","appstore"
"升级奖励","6","70","2014-11-11","s43","appstore"
"升级活动奖励","2","2050","2014-11-11","s43","appstore"
"名山寻宝","2","55","2014-11-11","s43","appstore"
"小宝赠宝获取奖励","67","1440","2014-11-11","s43","appstore"
"每日登录送元宝","8","40","2014-11-11","s43","appstore"
"系统消息附带的奖励","143","22340","2014-11-11","s43","appstore"
"紫禁宝匣开出元宝","41","500","2014-11-11","s43","appstore"
"血战奖励","97","5196","2014-11-11","s43","appstore"
"首次充值奖励","3","1692","2014-11-11","s43","appstore"
"首次充值奖励翻倍","4","22262","2014-11-11","s43","appstore"
"充值奖励","4","10023","2014-11-11","s44","appstore"
"升级奖励","8","100","2014-11-11","s44","appstore"
"升级活动奖励","3","890","2014-11-11","s44","appstore"
"名山寻宝","2","55","2014-11-11","s44","appstore"
